Location    Name
eastus2     Microsoft.Azure.ActiveDirectory
eastus2     Microsoft.Azure.ActiveDirectory.LinuxSSH
eastus2     Microsoft.Azure.Applications
eastus2     Microsoft.Azure.Backup.Test
eastus2     Microsoft.Azure.Backup.Test.Edp
eastus2     Microsoft.Azure.Compute.Security
eastus2     Microsoft.Azure.Diagnostics
eastus2     Microsoft.Azure.Diagnostics.Build.Test
eastus2     Microsoft.Azure.Extensions
eastus2     Microsoft.Azure.Extensions.Test012be407-61ea-4e45-a2c3-71a45999ca21-20191228083800
eastus2     Microsoft.Azure.Extensions.Test01971384-3044-413b-8b1c-33b5d461bf23-20200107051823
eastus2     Microsoft.Azure.Extensions.Test0225ec7d-b36c-4ac8-82f0-aa4fafaf10a9-20200111051346
eastus2     Microsoft.Azure.Extensions.Test025e16a1-328d-45a2-b7e3-71f7e4cde046-20191229064028
eastus2     Microsoft.Azure.Extensions.Test02d1f941-5607-4757-8df7-fd8c5631ab45-20200103083810
eastus2     Microsoft.Azure.Extensions.Test039abd7f-360c-42a1-ad5d-77527c519286-20191002233412
eastus2     Microsoft.Azure.Extensions.Test04a0f157-c6fb-4595-b6ca-6c82a2338063-20200108101451
eastus2     Microsoft.Azure.Extensions.Test0737f33e-63e0-4ba9-b04b-b93a1de4e997-20200106083639
eastus2     Microsoft.Azure.Extensions.Test0a44d7be-63fa-418d-a7b6-89a44dd21894-20200107052935
eastus2     Microsoft.Azure.Extensions.Test0d01b487-7f79-4d87-b330-5c025068db45-20191004190331
eastus2     Microsoft.Azure.Extensions.Test0d643748-e6fe-41ad-b4d3-89a289a0cee0-20191003055620
eastus2     Microsoft.Azure.Extensions.Test0df83c51-5bb9-43f8-8ae9-bc896ea64f78-20200110220221
eastus2     Microsoft.Azure.Extensions.Test0f02c246-7e65-4010-9367-ca4530c3897e-20191004190223
eastus2     Microsoft.Azure.Extensions.Test157494ec-e788-43b0-8d26-a17e39ee07cc-20191002011945
eastus2     Microsoft.Azure.Extensions.Test1661d154-b623-4507-8a56-3a89812c456c-20200111083940
eastus2     Microsoft.Azure.Extensions.Test17bbd860-f21d-40ab-9026-16e05f2907f0-20200106083451
eastus2     Microsoft.Azure.Extensions.Test194e2333-13cd-43e3-b0a4-c8cdcf1a3600-20200110211106
eastus2     Microsoft.Azure.Extensions.Test1bc26b19-b8d8-41f9-a26d-818f277bdf93-20200101113139
eastus2     Microsoft.Azure.Extensions.Test1c840053-9213-4f2a-8f2e-9bf2297908bd-20200108101424
eastus2     Microsoft.Azure.Extensions.Test1d7bba72-69f1-43cd-a38c-41ce0b5f4bae-20200109050041
eastus2     Microsoft.Azure.Extensions.Test1f7a8078-50e7-4a3a-91eb-d178fd4c403b-20191002233353
eastus2     Microsoft.Azure.Extensions.Test1fef1fdc-57ba-46a8-a879-475ba7d45a7a-20200106083509
eastus2     Microsoft.Azure.Extensions.Test21332f15-f78d-4d31-afac-79b9dc989432-20191231175840
eastus2     Microsoft.Azure.Extensions.Test22f10717-6939-4003-a9ce-38effd8b77d6-20191007191355
eastus2     Microsoft.Azure.Extensions.Test2334e6e3-bb72-4241-a36f-c2429d69bc0b-20200106050834
eastus2     Microsoft.Azure.Extensions.Test24fa9eb5-1c59-4425-b61c-30fd638c2a45-20191003203802
eastus2     Microsoft.Azure.Extensions.Test2521a545-ed61-4a15-bed1-aba7ce1d81ee-20200106050804
eastus2     Microsoft.Azure.Extensions.Test25c6fe61-1282-43c2-867b-b5039219989c-20200105081851
eastus2     Microsoft.Azure.Extensions.Test27515c8c-6773-4f92-afb0-35691cc6e3b6-20200103083821
eastus2     Microsoft.Azure.Extensions.Test28012680-48e7-4903-877f-2f29464e63d5-20191229033424
eastus2     Microsoft.Azure.Extensions.Test29a7a529-d293-4728-9d7f-257ed996e64f-20200108081759
eastus2     Microsoft.Azure.Extensions.Test2a5f2d2c-b8e3-46c2-850d-a1641c024fe7-20200107084228
eastus2     Microsoft.Azure.Extensions.Test2ce856af-ab17-48f2-ba3e-bcd9af091061-20200110013246
eastus2     Microsoft.Azure.Extensions.Test2e012e83-6361-4365-963f-6ced8a08e91c-20200110211254
eastus2     Microsoft.Azure.Extensions.Test2ecf67b2-fb63-4461-b6a6-7026c4fb1168-20191002214026
eastus2     Microsoft.Azure.Extensions.Test2ede6564-c7cc-44cb-a1a8-902505c9829d-20191003020742
eastus2     Microsoft.Azure.Extensions.Test2f4ebc17-e27e-48d9-9cc3-ff933c21884e-20200106092410
eastus2     Microsoft.Azure.Extensions.Test349ee02c-af9b-4663-a963-823b40eefed8-20200108083612
eastus2     Microsoft.Azure.Extensions.Test34cf6b13-b78e-478b-b596-8b661629371d-20191007195455
eastus2     Microsoft.Azure.Extensions.Test36cc5b60-2b23-4a04-bf95-f7865e1141cf-20200110085718
eastus2     Microsoft.Azure.Extensions.Test3712fca9-5cdd-4609-be69-b02aedc5c55c-20200107084115
eastus2     Microsoft.Azure.Extensions.Test3772d042-92e2-4bcb-99b7-8a6a119cc088-20191231182808
eastus2     Microsoft.Azure.Extensions.Test37a6dd64-d44d-465e-85bc-3bc38be90350-20200104083535
eastus2     Microsoft.Azure.Extensions.Test381074d5-7156-472b-801a-b35f8fef4cc6-20200105050612
eastus2     Microsoft.Azure.Extensions.Test3877a44d-4c48-40db-80eb-227272d5acd6-20200110103540
eastus2     Microsoft.Azure.Extensions.Test38ecd28e-7018-4672-840c-3044a5e7a6b5-20200111084208
eastus2     Microsoft.Azure.Extensions.Test395a0b49-442a-450c-8a1f-65b0aa3bcf47-20200105083839
eastus2     Microsoft.Azure.Extensions.Test3971b300-edff-44a8-b61b-7f9b7460a8d6-20191003002234
eastus2     Microsoft.Azure.Extensions.Test3adeec20-7458-4b3d-af26-0b6bc2aae3eb-20200103083751
eastus2     Microsoft.Azure.Extensions.Test3b20dd96-f3e4-4798-998d-8c433c2449a7-20200108083635
eastus2     Microsoft.Azure.Extensions.Test3ce2fd4a-8b5a-4c7e-b08d-3e48fc0f45e7-20200104083825
eastus2     Microsoft.Azure.Extensions.Test3d499ca7-cc8d-41cc-a6dc-ffb1a4ac4942-20200107053004
eastus2     Microsoft.Azure.Extensions.Test3db7240e-5e42-4d6d-b024-cc9fce3c828b-20200105083520
eastus2     Microsoft.Azure.Extensions.Test3f6b7341-635f-48d5-a36d-be5dfe3002c4-20200105050937
eastus2     Microsoft.Azure.Extensions.Test3fc26934-ede2-4482-ad5e-f66f6135d4a6-20191228055558
eastus2     Microsoft.Azure.Extensions.Test406d077c-6017-4062-bc96-f809147a2331-20200106050748
eastus2     Microsoft.Azure.Extensions.Test4302336c-e039-4e70-bcb6-9275f6089e4a-20200108144821
eastus2     Microsoft.Azure.Extensions.Test453a087e-8435-46db-970a-4ee633cc4c4a-20200102083458
eastus2     Microsoft.Azure.Extensions.Test46b73afa-2259-4aff-81e1-a58bf24b59aa-20191229033459
eastus2     Microsoft.Azure.Extensions.Test4a3399ee-82ea-46aa-9e3a-5434b588e3b6-20191228013518
eastus2     Microsoft.Azure.Extensions.Test4eb7a185-527b-4b9f-93a8-7f1cec9d062e-20191231151207
eastus2     Microsoft.Azure.Extensions.Test520a0915-f9f0-4da4-9fa1-1b74fc1470aa-20200102083505
eastus2     Microsoft.Azure.Extensions.Test5397960f-023b-4979-9a8b-800d049045a4-20191007195417
eastus2     Microsoft.Azure.Extensions.Test55a36387-8a3f-4159-9884-29b97539a253-20200109080443
eastus2     Microsoft.Azure.Extensions.Test5645f186-4ee5-4209-af37-423660e3318c-20191231175947
eastus2     Microsoft.Azure.Extensions.Test58b4461d-4d2d-4395-b6d2-ab83d4d8c62f-20200111001002
eastus2     Microsoft.Azure.Extensions.Test5b0bf447-d98d-429d-8334-c032d197c743-20191003203846
eastus2     Microsoft.Azure.Extensions.Test5bc90367-1ea2-400b-a40c-321081bae3f3-20200108145035
eastus2     Microsoft.Azure.Extensions.Test5bd0562f-e939-456f-a6ee-c848d1aba616-20200101151641
eastus2     Microsoft.Azure.Extensions.Test5e4efe90-916c-4c96-802c-1508a5b6da78-20191231151150
eastus2     Microsoft.Azure.Extensions.Test5f8f0c10-cc3c-45ec-a068-fb1c7edfa0d9-20200101145958
eastus2     Microsoft.Azure.Extensions.Test60a000b7-286c-4b2b-9137-bbc088736419-20200108144920
eastus2     Microsoft.Azure.Extensions.Test6192a01b-ba47-4d08-904a-71647a49a112-20191008041625
eastus2     Microsoft.Azure.Extensions.Test62835538-89c6-4f66-9034-f7a4b176c615-20191007234245
eastus2     Microsoft.Azure.Extensions.Test651e4ad2-ee4a-462e-a506-b56b1969f5d0-20200110230749
eastus2     Microsoft.Azure.Extensions.Test691d94e5-c40c-4568-94b0-09b08aea42b1-20200106050808
eastus2     Microsoft.Azure.Extensions.Test6aa3643c-011a-4180-877f-cad955a8e664-20191007234642
eastus2     Microsoft.Azure.Extensions.Test6cfb469b-8478-468f-9bb5-691affd32abb-20200107083803
eastus2     Microsoft.Azure.Extensions.Test6d36b6b2-7956-4e62-91c1-c33792fd4bb1-20200110123203
eastus2     Microsoft.Azure.Extensions.Test6e28168e-a9c8-4c0a-8b40-60c2a1502d43-20200108052802
eastus2     Microsoft.Azure.Extensions.Test6eb763ac-7fbe-4e44-bee7-aad035ee2a7d-20200110084429
eastus2     Microsoft.Azure.Extensions.Test6efec253-f625-46f0-9d74-324f69e963d8-20200107070514
eastus2     Microsoft.Azure.Extensions.Test70fa7e4c-3122-4ff7-aec6-fe75ab660a01-20200108105900
eastus2     Microsoft.Azure.Extensions.Test710a5fbf-06c7-46ac-b96d-a29d2586422f-20200108083639
eastus2     Microsoft.Azure.Extensions.Test71d72489-67c6-45e2-b1e6-a19546efc823-20200105112903
eastus2     Microsoft.Azure.Extensions.Test721fccf1-2b3e-44b6-908f-51b910e88b09-20200111104931
eastus2     Microsoft.Azure.Extensions.Test742d0189-9e41-4f1b-8ad3-31c05d34903b-20200111103247
eastus2     Microsoft.Azure.Extensions.Test7836a97c-f56e-48d0-8b5d-61e79aeb3226-20200111071656
eastus2     Microsoft.Azure.Extensions.Test78666b2e-25c8-4a48-931a-3131a0317d73-20191002194352
eastus2     Microsoft.Azure.Extensions.Test79f13508-fcbd-47b9-988f-1c21ef5e7f2e-20191002015429
eastus2     Microsoft.Azure.Extensions.Test79fb90ce-4691-4212-99a7-6e4069bd5984-20191007234256
eastus2     Microsoft.Azure.Extensions.Test7a8cf687-6a21-4181-ba98-902fee717bd3-20200104103216
eastus2     Microsoft.Azure.Extensions.Test7aabf813-6644-483a-b9e0-ba6f8973ba1f-20191002232822
eastus2     Microsoft.Azure.Extensions.Test7c96c10a-0c8f-4ab0-83fd-1ad66a362e33-20191229033458
eastus2     Microsoft.Azure.Extensions.Test7e79b6ff-2559-44fe-b3ba-afaa68d63636-20200108112116
eastus2     Microsoft.Azure.Extensions.Test7ea372f7-ea7e-4b9e-bbad-4f35c1567aa2-20200108052736
eastus2     Microsoft.Azure.Extensions.Test7fac3d04-98a5-4fc4-904e-9ea3b86eadc2-20200106050751
eastus2     Microsoft.Azure.Extensions.Test7fe20dd6-9ed9-4126-bb1d-031c01ac4550-20200101114504
eastus2     Microsoft.Azure.Extensions.Test7ff974d9-c841-4249-b05b-bbf663cb4605-20200106084104
eastus2     Microsoft.Azure.Extensions.Test815bd4d5-fc24-4a47-be20-063c4809902c-20200109050508
eastus2     Microsoft.Azure.Extensions.Test817654d0-2109-4d95-9284-8c8a9d960d08-20200108053758
eastus2     Microsoft.Azure.Extensions.Test821ca3b6-dd05-4e80-b3d8-74ba03b2609b-20191231151151
eastus2     Microsoft.Azure.Extensions.Test8285dc3e-637d-4d46-9695-adc39cbe7d2f-20200108144457
eastus2     Microsoft.Azure.Extensions.Test828aae03-9239-4938-a303-c23c42311878-20200102083419
eastus2     Microsoft.Azure.Extensions.Test84afd814-5098-49ab-af99-e50350b5898b-20200110211134
eastus2     Microsoft.Azure.Extensions.Test85b08563-b15f-4202-a0bc-f2bc2df2c71a-20200107053335
eastus2     Microsoft.Azure.Extensions.Test88aac268-c087-4481-b78e-99b920784a33-20200101084853
eastus2     Microsoft.Azure.Extensions.Test88dbd442-a8cc-4874-81a0-d3192c61df62-20191001224544
eastus2     Microsoft.Azure.Extensions.Test894dfb75-a00f-4f0c-894c-cae1c9846ad3-20200105051803
eastus2     Microsoft.Azure.Extensions.Test8d09bf4d-ee63-4ab1-a986-a4b802418403-20200111051447
eastus2     Microsoft.Azure.Extensions.Test8d4d652b-4f05-4e99-93dd-78b9a36b5c78-20191003203755
eastus2     Microsoft.Azure.Extensions.Test8de64739-43d8-4f84-af65-fdb3d0885288-20200108053543
eastus2     Microsoft.Azure.Extensions.Test8e324c65-a51d-4eeb-9ec8-d5f8662dc041-20191228165107
eastus2     Microsoft.Azure.Extensions.Test8e564580-8e53-4300-85f1-bf7f31dd37ff-20200107013348
eastus2     Microsoft.Azure.Extensions.Test8f458ca7-8898-4d58-b93d-bfb0c3da028c-20200109050310
eastus2     Microsoft.Azure.Extensions.Test901cd6ca-5565-4552-a3de-d204d01935c0-20200108083706
eastus2     Microsoft.Azure.Extensions.Test907b39e5-4008-4b55-93a0-18e9697b9cf3-20200108053817
eastus2     Microsoft.Azure.Extensions.Test90c2be7c-d7ec-4abf-9fad-fef90fc3ef4d-20191004022234
eastus2     Microsoft.Azure.Extensions.Test922db678-6ee8-43d5-86ff-6a86e132d332-20200107085231
eastus2     Microsoft.Azure.Extensions.Test93b88aec-5277-4b1b-910c-7008e972ce91-20200107013304
eastus2     Microsoft.Azure.Extensions.Test95a9104b-6cba-42d8-82ff-cc37e5ac44db-20200108081723
eastus2     Microsoft.Azure.Extensions.Test96da1605-19e0-46eb-9ce0-53e840f5e2cb-20200101111729
eastus2     Microsoft.Azure.Extensions.Test996066b2-7d29-400f-929b-e343a21046f7-20191231151212
eastus2     Microsoft.Azure.Extensions.Test99663fff-ed21-4a91-9687-1a6da2abb033-20200106084508
